model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,is_gaming_laptop,is_regular_laptop
lenovo v15 itl g2 82kba033ih laptop,lenovo,11th gen core i3,8,512,564,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,62,33921,False,True
hp pavilion 15-ec2004ax gaming laptop,hewlett packard,amd ryzen 5 5600h,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,6,12,66,56150,True,False
lenovo v15 82kba03hih laptop,lenovo,11th gen core i3,8,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,66,35499,False,True
asus vivobook 16x 2022 m1603qa-mb502ws laptop,asus,ryzen 5 5600h,8,512,1000,Windows,AMD Radeon Vega 7,16.0,1200 x 1920,6,12,66,48990,False,True
hp 15s-fr4000tu laptop,hewlett packard,11th gen core i5,8,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4,8,63,52990,False,True
lenovo ideapad gaming 3 82k101ecin laptop,lenovo,11th gen core i5,8,256,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,4,8,73,56700,True,False
infinix zero book ultra laptop,infinix,12th gen core i9,16,512,1000,Windows,Missing,15.6,1920 x 1080,14,20,65,87620,False,True
hp 15s-eq1559au laptop,hewlett packard,amd athlon silver 3050u,8,512,564,Windows,AMD Radeon Graphics,15.6,1366 x 768,2,2,57,29212,False,True
dell inspiron 3520 laptop,dell,12th gen core i3,8,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,6,8,61,44087,False,True
dell inspiron 3511 laptop,dell,11th gen core i3,8,512,1000,Windows,Intel UHD Graphics,15.56,1920 x 1080,2,4,59,38800,False,True
asus vivobook pro 15 oled m6500qh-hn701ws laptop,asus,ryzen 7 5800h,16,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,8,16,68,65990,False,True
apple macbook air 2020 mgnd3hn laptop,apple,apple m1,8,256,1000,Mac,Apple M1 Integrated Graphics,13.3,2560 x 1600,8,10,47,83900,False,True
hp 15s-fq5007tu laptop,hewlett packard,12th gen core i3,8,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,6,8,60,46790,False,True
